English,Spanish
To fear,Temer
To leave/break,Partir
To order/ask,Pedir (yo pido) 
To have (helper verb),Haber (yo he)
To open,Abrir
To bore,Aburrir
To go to bed,Acostar
To help,Ayudar
To close,Cerrar (yo cierro)
To pass (spend time),Pasar
To share,Compartir
To get/obtain,Conseguir (yo conseqo)
To cut,Cortar
To decide,Decidir
To say,Decir (yo digo)
To wake up,Despertar (yo despierto)
To hurt/ache,Doler (me duele)
To take a shower,Duchar (yo me ducho)
To choose ,Escoger
To love,Encantar or Amar
To turn on/light,Encender (yo enciendo)
To enter ,Entrar or Ingresar
To send,Enviar
To write,Escribir
To be annoyed/pissed,Hartar
To fill/swell,Llenar
To annoy/pester,Molestar
To include,Incluir (yo incluyo) 
To clean,Limpiar
To lift/raise,Levantar
To carry/wear,Llevar
To manage (drive),Manejar
To forget,Olvidar
To stay/remain,Quedar (me quedo)
To take off/remove ,Quitar
To remember,Recordar (yo recuerdo)
To sit,Sentar (me siento) 
To come,Venir (yo vengo; tu vienes)
To return,Volver (yo vuelo) 
To wear/dress,Vestir (yo visto)
To try/attempt,Intentar
To leave/abandon ,Dejar
To take/consume/catch,Tomar
To occur/happen,Ocurrir
To win/gain,Ganar
To show up/appear,Aparecer (yo aparezco)
To be born,Nacer (yo nazco)
To stink/reek,Heder (yo hiedo)
To clean,Limpiar
To relax,Relajar (me relajo) 
