English,Spanish
To see,Ver
To go,Ir
To be,Ser/Estar
To want,Querer
To know,Saber
To wash,Lavar
To think,Pensar
To find,Encontrar
To prepare,Preparar
To travel,Viajar
To drive,Conducir
To walk,Caminar
To run,Correr
To act,Actuar
To illustrate,Ilustrar
To eat,Comer
To drink,Beber
To buy,Comprar
To visit,Visitar
To poop,Defecar
To pee,Orinar
To laugh,Reír
To think,Pensar
To exist,Existir
To believe,Creer
To build,Construir
To cook,Cocinar
To hear,Escuchar
To do/make/ask,Hacer
To have,Tener
To give,Dar
To put,Poner
To call,Llamar
To play,Jugar
To want,Querer
To reply,Responder
To need,Necesitar
To learn,Aprender
To understand,Entender
To be able to,Poder
To live,Vivir
To sleep,Dormir
To look for,Buscar
To find,Encontrar
To pay,Pagar
To begin,Comenzar
To finish,Finalizar
To arrive,Llegar
To enter,Ingresar
To show,Mostrar
