English,Spanish
To go,Ir
I go to the bathro,Voy al baño
You go to the beach,Vas a la playa
She goes to the church,Ella va a la iglesia
We go to the house,Vamos a la casa
They go to the bathr,Van al baño
I went to the beach,Fui a la playa
You went to the bathroom,Fuiste al baño
He went to the store,Fue a la tienda
We went to the post office,Fuimos a la oficina de correos
They went to the bar,Fueron al bar
I used to go to school,Iba a la escuela
You used to go to school,Ibas a la escuala
He used to go to work,Iba al trabajo 
We used to go to the park,íbamos al parque
They used to go to the beach,Ibais a la tienda
I will go to the beach,Iré a la playa
You will go to the bar,Irás al bar
He will go to the bathroom,Irá al baño
We will go to the airport,Iremos al aeropuerto
They will go to the store,Irán a la tienda
I would go to the beach,Iría a la playa.
You would go to the store,Irías a la tienda
He would go to work,Iría al trabajo
We would go to the park,Iríamos al parque
They would go to the beach,irían a la playa
