English,Spanish
Head,La cabeza
Hands,Los manos
Feet,Los pies
Legs,Las piernas
Stomach,El estómago
Eyes,Los ojos
Face,El rostro
Mouth,La boca
Ears,Las orejas
Brain,El Cerebro
Hair,El cabello or El pelo
Hair cut,Un corte de pelo
Butt,La culo (Las nalgas for cheeks)
Thought,El pensamiento
Sunglasses,Las gafas de sol
Monday,Lunes
Tuesday,Martes
Wednesday,Miércoles
Thursday,Jueves
Friday,Viernes
Satuarday,Sábado
Sunday,Domingo
Week,Semana
Weekend,El fin de semana
Month,Mes
Summer,El verano
Winter,El invierno
Fall,El otoño
Spring,La primavera
Janurary ,Enero
Feburary,Febrero
March,Marzo
April,Abril
May,Mayo
June,Junio
July,Julio
August,Agosto
September,Septiembre
October,Octubre
December,Diciembre
Bird,El pájaro
Horse,El caballo
Spider,La araña
Insect,El insecto
Cockroach,El cucaracha
Vacation,Las vacaciones
Holiday,Día festivo
Christmas,Navidad
Thanksgiving,Acción de gracias
